prompt,completion
"С душою, полной сожалений, 
И опершися на гранит, 
Стоял задумчиво Евгений, 
Как описал себя пиит. 
Все было тихо; лишь ночные 
Перекликались часовые, 
Да дрожек отдаленный стук 
С Мильонной раздавался вдруг; 
Лишь лодка, веслами махая, 
Плыла по дремлющей реке: 
И нас пленяли вдалеке 
Рожок и песня удалая… 
Но слаще, средь ночных забав, 
Напев Торкватовых октав!","Onegin leaned above the river  Upon the granite parapet,  As did the bard once – not aquiver  With ecstasy, but with regret.  Here one heard naught but echoes, dying, 
From distant streets where cabs were flying, 
And sentinel to sentinel 
Sounding the cry that all was well; 
Alone a lazy boatman lifted  His oars above the drowsy stream; 
A horn rang out, as in a dream;  A song across the waters drifted; 
But Tasso’s murmured octaves are, 
By night, in dalliance, sweeter far."
"Адриатические волны, 
О Брента! нет, увижу вас 
И, вдохновения снова полный, 
Услышу ваш волшебный глас! 
Он свят для внуков Аполлона; 
По гордой лире Альбиона 
Он мне знаком, он мне родной. 
Ночей Италии златой 
Я негой наслажусь на воле, 
С венецианкою младой, 
То говорливой, то немой, 
Плывя в таинственной гондоле; 
С ней обретут уста мои 
Язык Петрарки и любви.","Oh, waters of the Adriatic!  Oh, Brenta! No, I’ll yet rejoice  When once again, inspired, ecstatic,  I hear the magic of your voice,  Sacred to scions of Apollo!  No bard was keen as I to follow  The strains of Albion’s proud lyre  Extolling you in tones of fire!  Once free, and night will find me gloating  Upon a fair Venetian face,  Within the gondola’s embrace  In golden languor vaguely floating;  And she will learn my knowledge of  The tongue of Petrarch and of love."
"(Название:) ЕВГЕНИЙ ОНЕГИН (Глава 1, Станза L) 
(Поэт:) Александр Пушкин 

Придет ли час моей свободы? 
Пора, пора! — взываю к ней; 
Брожу над морем, жду погоды, 
Маню ветрила кораблей. 
Под ризой бурь, с волнами споря, 
По вольному распутью моря 
Когда ж начну я вольный бег? 
Пора покинуть скучный брег 
Мне неприязненной стихии 
И средь полуденных зыбей, 
Под небом Африки моей, 
Вздыхать о сумрачной России, 
Где я страдал, где я любил, 
Где сердце я похоронил.","(Title:) EUGENE ONEGIN (Chapter 1, Stanza L) 
(Poet/Translator:) Alexander Pushkin / Babette Deutsch 

’Tis time to loose me from my tether;  I call on freedom – naught avails:  I pace the beach, await good weather,  And beckon to the passing sails.  When, wrapped in storm, shall I be battling 
The billows, while the shrouds are rattling, 
And roam the sea’s expanse, unpent,
Quit of the shore’s dull element?  ’Tis time to seek the southern surges 
Beneath my Afric’s sunny sky,  And, there at home, for Russia sigh, 
Lamenting in new songs and dirges 
The land that knew my love, my pain, 
Where long my buried heart has lain."
"Онегин был готов со мною 
Увидеть чуждые страны; 
Но скоро были мы судьбою 
На долгой срок разведены. 
Отец его тогда скончался. 
Перед Онегиным собрался 
Заимодавцев жадный полк. 
У каждого свой ум и толк: 
Евгений, тяжбы ненавидя, 
Довольный жребием своим, 
Наследство предоставил им, 
Большой потери в том не видя 
Иль предузнав издалека 
Кончину дяди старика.","The pair of us had planned to wander, 
On foreign scenes to feast our eyes; 
But I am here and he is yonder:  Fate had arranged it otherwise. 
Upon the death of his dear father 
The creditors began to gather,  And Eugene, when he saw these sirs 
Each man must do as he prefers 
Because he hated litigation 
Surrendered his inheritance; 
He thought it no great loss – perchance 
He had some other expectation?  Had Eugene, from a little bird,  Of his old uncle’s illness heard?"
"Вдруг получил он в самом деле 
От управителя доклад, 
Что дядя при смерти в постеле 
И с ним проститься был бы рад. 
Прочтя печальное послание, 
Евгений тотчас на свиданье 
Стремглав по почте поскакал 
И уж заранее зевал, 
Приготовляясь, денег ради, 
На вздохи, скуку и обман 
(И тем я начал мой роман); 
Но, прилетев в деревню дяди, 
Его нашел уж на столе, 
Как дань готовую земле.","Indeed, he soon received a letter  Which told him that his uncle lay  Too ill for hopes of getting better,  And had his last farewells to say.  Eugene perused the sad epistle;  Thoughts of the future made him whistle; 
He caught the post with eager haste, 
But soon was yawning while he raced: 
He knew the task would sorely try him 
For (as I’ve said) there he must sit 
And fawn and play the hypocrite. 
But when he comes they notify him 
His uncle’s in his coffin laid:  His debt to nature has been paid."
"Нашел он полон двор услуги; 
К покойнику со всех сторон 
Съезжались недруги и други, 
Охотники до похорон. 
Покойника похоронили. 
Попы и гости ели, пили 
И после важно разошлись, 
Как будто делом занялись. 
Вот наш Онегин — сельский житель, 
Заводов, вод, лесов, земель 
Хозяин полный, а досель 
Порядка враг и расточитель, 
И очень рад, что прежний путь 
Переменил на что-нибудь.","The servants gave him all assistance,  The house hummed like a hive of bees 
With friends and foes come from a distance 
Just to enjoy the obsequies.  The dead man buried, they were able  To do full justice to the table,  And, feeling they had done their best, 
Gravely departed priest and guest. 
Here was Onegin, then, possessing 
His stables, forests, streams and land, 
He who could never understand  An ordered way of life, confessing 
His early years were all a waste,  And this routine was to his taste."
"Два дня ему казались новы 
Уединенные поля, 
Прохлада сумрачной дубровы, 
Журчанье тихого ручья; 
На третий роща, холм и поле 
Его не занимали боле; 
Потом уж наводили сон; 
Потом увидел ясно он, 
Что и в деревне скука та же, 
Хоть нет ни улиц, ни дворцов, 
Ни карт, ни балов, ни стихов. 
Хандра ждала его на страже, 
И бегала за ним она, 
Как тень иль верная жена.","Two days he found it quite diverting: 
The meadows’ solitary look,  The shady thickets’ cool, begirting 
The purling of a gentle brook;  The third day interest abated  And he was not the least elated  By grove and stream and field and steep – 
They only sent him off to sleep. 
For though the country boasts no palace, 
No card-game, poetry, or ball,  Its pleasures, like the city’s, pall,  He noted with accustomed malice,  
A shadow, or a wife, pursues  As he was followed by the blues."
"(Название:) ЕВГЕНИЙ ОНЕГИН (Глава 1, Станза LV) 
(Поэт:) Александр Пушкин 

Я был рожден для жизни мирной, 
Для деревенской тишины; 
В глуши звучнее голос лирный, 
Живее творческие сны. 
Досугам посвятясь невинным, 
Брожу над озером пустынным, 
И far niente мой закон. 
Я каждым утром пробужден 
Для сладкой неги и свободы: 
Читаю мало, долго сплю, 
Летучей славы не ловлю. 
Не так ли я в былые годы 
Провел в бездействии, в тени 
Мои счастливейшие дни?","(Title:) EUGENE ONEGIN (Chapter 1, Stanza LV) 
(Poet/Translator:) Alexander Pushkin / Babette Deutsch 

I like a life of country quiet; 
There may the lyre sound clear and free, 
There fancies bloom and dreams run riot –  It suits my Muse as it suits me.  At peace, it is my artless pleasure 
To wander by the lake at leisure,  In solitude without a flaw, 
And far niente my law.  Each morning I awake proposing 
Another day without an aim;  I have no care for flighty fame;  I hardly read, I’m often dozing. 
Was it not thus I long since spent 
My youth in slothful sweet content?"
"Цветы, любовь, деревня, праздность, 
Поля! я предан вам душой. 
Всегда я рад заметить разность 
Между Онегиным и мной, 
Чтобы насмешливый читатель 
Или какой-нибудь издатель 
Замысловатой клеветы, 
Сличая здесь мои черты, 
Не повторял потом безбожно, 
Что намарал я свой портрет, 
Как Байрон, гордости поэт, 
Как будто нам уж невозможно 
Писать поэмы о другом, 
Как только о себе самом.","To love and idleness devoted,  To flowery field and village sport, 
With pleasure I have often noted  That I am not Onegin’s sort;  Let no sly reader be so daring – 
Onegin’s traits with mine comparing – 
And no calumnious friend so pert  As some time later to assert  That here, for all the world to know it, 
I’ve drawn a likeness perfectly:  A portrait of none else but me,  Like Byron, pride’s consummate poet; 
As though there were a tacit ban  On writing of another man."
"Замечу кстати: все поэты — 
Любви мечтательной друзья. 
Бывало, милые предметы 
Мне снились, и душа моя 
Их образ тайный сохранила; 
Их после муза оживила: 
Так я, беспечен, воспевал 
И деву гор, мой идеал, 
И пленниц берегов Салгира. 
Теперь от вас, мои друзья, 
Вопрос нередко слышу я: 
«О ком твоя вздыхает лира? 
Кому, в толпе ревнивых дев, 
Ты посвятил ее напев?","Poets, it is my observation,  Indulge in lovers’ dreams with ease;  I too made it my occupation  To play with tender reveries.  First, memory would trace the features, 
In secret, of dear distant creatures,  And the rare magic of the Muse  The breath of life would then infuse.  The mountain maid, untamed, inspiring, 
The prisoned girls of the Salgir,  ’Twas thus I sang them – both were dear. 
Now my companions are inquiring: 
“In all the jealous crowd, what she 
Commands your tender minstrelsy?"
"Чей взор, волнуя вдохновение, 
Умильной лаской наградил 
Твое задумчивое пенье? 
Кого твой стих боготворил?» 
И, други, никого, ей-богу! 
Любви безумную тревогу 
Я безотрадно испытал. 
Блажен, кто с нею сочетал 
Горячку рифм: он тем удвоил 
Поэзии священный бред, 
Петрарке шествуя вослед, 
А муки сердца успокоил, 
Поймал и славу между тем; 
Но я, любя, был глуп и нем.","“Whose glances, quickening emotion, 
Caressingly repaid your song?  To whom did your confessed devotion, 
To whom your pensive verse belong?” 
To no one, friends, you must believe me: 
I loved, and nothing could relieve me. 
That man alone knows blessedness 
Who is inspired in his distress:  For thus he brings his passion’s fuel 
To poetry’s exalted flame;  And when consoled by art – and fame, 
Like Petrarch, he finds love less cruel. 
But, feeling the blind archer’s sting,  I was a dolt and could not sing."
"Прошла любовь, явилась муза, 
И прояснился темный ум. 
Свободен, вновь ищу союза 
Волшебных звуков, чувств и дум; 
Пишу, и сердце не тоскует, 
Перо, забывшись, не рисует, 
Близ не-оконченных стихов, 
Ни женских ножек, ни голов; 
Погасший пепел уж не вспыхнет, 
Я всё грущу; но слез уж нет, 
И скоро, скоро бури след 
В душе моей совсем утихнет: 
Тогда-то я начну писать 
Поэму песен в двадцать пять.","The Muse has come, and love departed, 
The darkened mind is clear again;  And as of old I mix, free-hearted,  
Feeling and thought with music’s strain. 
I write, and longing is diminished; 
Beside the stanza all unfinished 
No more the casual pen is led  To sketch a woman’s legs or head. 
Cold ashes hide no smoldering ember; 
I have no tears, in spite of grief;  The storms which shook it like a leaf 
Soon, soon my soul will not remember: 
Then what a poem I’ll contrive  In cantos numbering twenty-five!"
"(Название:) ЕВГЕНИЙ ОНЕГИН (Глава 1, Станза LX) 
(Поэт:) Александр Пушкин 

Я думал уж о форме плана 
И как героя назову; 
Покамест моего романа 
Я кончил первую главу; 
Пересмотрел все это строго: 
Противоречий очень много, 
Но их исправить не хочу. 
Цензуре долг свой заплачу 
И журналистам на съеденье 
Плоды трудов моих отдам: 
Иди же к невским берегам, 
Новорожденное творение, 
И заслужи мне славы дань: 
Кривые толки, шум и брань!","(Title:) EUGENE ONEGIN (Chapter 1, Stanza LX) 
(Poet/Translator:) Alexander Pushkin / Babette Deutsch 

The plan I had no pains to settle, 
The hero’s named, the work’s begun; 
My novel finds me in good fettle 
And I’ve completed Chapter One. 
I’ve scanned the pages most severely, 
The errors are a trifle merely,  And those I do not greatly me;  I’ll give the censorship its due,  Let critics wreak their indignation 
Upon the finished product then; 
Neva, oh, offspring of my pen, 
Shall greet you. Go, my dear creation: 
Be sentenced by a crooked jury  And earn me fame and sound and fury."
"(Название:) ЕВГЕНИЙ ОНЕГИН (Глава 2, Станза I) 
(Поэт:) Александр Пушкин 

Деревня, где скучал Евгений, 
Была прелестный уголок; 
Там друг невинных наслаждений 
Благословить бы небо мог. 
Господский дом уединенный, 
Горой от ветров огражденный, 
Стоял над речкою. Вдали 
Пред ним пестрели и цвели 
Луга и нивы золотые, 
Мелькали селы; здесь и там 
Стада бродили по лугам, 
И сени расширял густые 
Огромный, запущенный сад, 
Приют задумчивых дриад.","(Title:) EUGENE ONEGIN (Chapter 2, Stanza I) 
(Poet/Translator:) Alexander Pushkin / Babette Deutsch 

The village, where Onegin’s leisure  But left him bored to a degree,  Would ravish one who prized the treasure 
Of innocent felicity. 
The mansion, by a hill well hidden,  Where winds and tempests were forbidden, 
And near a stream, stood calm and proud, 
Surveying fallow land and plowed. 
Beyond, the plain, with hamlets dotted, 
And chequered brown and gold and green, 
A halcyon bucolic scene,  With roaming flocks was lightly spotted; 
While in the garden’s lavish shade  The contemplative dryads played."
"Почтенный замок был построен, 
Как замки строиться должны: 
Отменно прочен и спокоен 
Во вкусе умной старины. 
Везде высокие покои, 
В гостиной штофные обои, 
Царей портреты на стенах, 
И печи в пестрых изразцах. 
Все это ныне обветшало, 
Не знаю, право, почему; 
Да, впрочем, другу моему 
В том нужды было очень мало, 
Затем, что он равно зевал 
Средь модных и старинных зал.","The mansion, from its firm foundation
Up to its roof, was past all praise, 
Expressing the discrimination Of noble taste of bygone days. 
The stove with colored tiles, appealing 
If out of date, the lofty ceiling, 
Ancestral portraits in the gloom –  And damask of the drawing-room 
All this is now outworn and faded, 
The glory’s gone, I know not why; 
But the sad ruin brought no sigh 
From Eugene: he was far too jaded – 
In time-worn halls and those that just 
Had been refurbished, yawn he must."
"Он в том покое поселился, 
Где деревенский старожил 
Лет сорок с ключницей бранился, 
В окно смотрел и мух давил. 
Все было просто: пол дубовый, 
Два шкафа, стол, диван пуховый, 
Нигде ни пятнышка чернил. 
Онегин шкафы отворил; 
В одном нашел тетрадь расхода, 
В другом наливок целый строй, 
Кувшины с яблочной водой 
И календарь восьмого года: 
Старик, имея много дел, 
В иные книги не глядел.","The room where the old man berated 
His house-help for forty years, 
Killed flies, and snugly rusticated.  Is now our hero’s, it appears. 
The furnishings are plain and stable. 
The floor is oak; two shelves, a table, 
A down-stuffed couch are all, I think. 
And nowhere is a spot of ink. 
Onegin searched the cupboards, finding 
Liqueurs, a ledger, applejack, 
And tucked away, an almanac 
For 1808 without a binding:  The old man had no time to look 
Into a more exacting book."
"Один среди своих владений, 
Чтоб только время проводить, 
Сперва задумал наш Евгений 
Порядок новый учредить. 
В своей глуши мудрец пустынный, 
Ярем он барщины старинной 
Оброком легким заменил; 
И раб судьбу благословил. 
Зато в углу своем надулся, 
Увидя в этом страшный вред, 
Его расчетливый сосед; 
Другой лукаво улыбнулся, 
И в голос все решили так, 
Что он опаснейший чудак.","Alone among his new possessions, 
At first Eugene, to stage his dream  Of making certain grand concessions 
And setting up a new regime; 
For master’s wages substituted  Light crop-rent, and the serfs, exulted 
Because this wasn’t hard to pay, 
Blessed the new master every day.  Not so his calculating neighbor  Who thought our Eugene was a dunce; 
Another neighbor smirked his lips:  Why thus dispense with lawful labor? 
The youth was called on every hand  A faddist, clown, and firebrand."
"(Название:) ЕВГЕНИЙ ОНЕГИН (Глава 2, Станза V) 
(Поэт:) Александр Пушкин 

Сначала все к нему езжали; 
Но так как с заднего крыльца 
Обыкновенно подавали 
Ему донского жеребца, 
Лишь только вдоль большой дороги 
Заслышат их домашни дроги, — 
Поступком оскорбясь таким, 
Все дружбу прекратили с ним. 
«Сосед наш неуч; сумасбродит; 
Он фармазон; он пьет одно 
Стаканом красное вино; 
Он дамам к ручке не подходит; 
Все да да нет; не скажет да-с 
Иль нет-с». Таков был общий глас.","(Title:) EUGENE ONEGIN (Chapter 2, Stanza V) 
(Poet/Translator:) Alexander Pushkin / Charles Johnson and Aleksey Calvin  

At first the neighbors called; but seeing 
Increasingly, as time went on, 
That through the backdoor he keeps fleeing 
On a fast stallion from the Don, 
That servants bring to him, discerning 
From up the road mere hints of throbbing, – 
Offended by this act, they broke 
Relations off from him, and spoke, 
``The man's unschooled; his sense is missing, 
He's a freemason too; and swills, 
Red wine in tumblers, nothing else; 
But ladies' hands avoids kissing; 
Says yes or no, but not yessir.’' 
And they all voiced thus, sans demur."
"(Название:) ЕВГЕНИЙ ОНЕГИН (Глава 2, Станза VI) 
(Поэт:) Александр Пушкин 

В свою деревню в ту же пору 
Помещик новый прискакал 
И столь же строгому разбору 
В соседстве повод подавал: 
По имени Владимир Ленской, 
С душою прямо геттингенской, 
Красавец, в полном цвете лет, 
Поклонник Канта и поэт. 
Он из Германии туманной 
Привез учености плоды: 
Вольнолюбивые мечты, 
Дух пылкий и довольно странный, 
Всегда восторженную речь 
И кудри черные до плеч.","(Title:) EUGENE ONEGIN (Chapter 2, Stanza VI) 
(Poet/Translator:) Alexander Pushkin / Lieut.-Col. Spalding and Aleksey Calvin  

Into the district then to boot  A new proprietor arrived,  From whose analysis minute  The neighborhood fresh sport derived .
He wore the name Vladimir Lenskiy,  And had a soul quite Gottingensky,  A worshipper of Kant, a bard,  A young and handsome galliard.  He brought from mystic Germany  The fruits of learning and combined  A fiery and eccentric mind,  Grand dreams in love with liberty,  Forever wild excited tongue,  And curls of black extending long."
"От хладного разврата света 
Еще увянуть не успев, 
Его душа была согрета 
Приветом друга, лаской дев; 
Он сердцем милый был невежда, 
Его лелеяла надежда, 
И мира новый блеск и шум 
Еще пленяли юный ум. 
Он забавлял мечтою сладкой 
Сомненья сердца своего; 
Цель жизни нашей для него 
Была заманчивой загадкой, 
Над ней он голову ломал 
И чудеса подозревал.","Unspoiled by the vain show and fleeting  Of this cold world, his soul would bless  With equal warmth a comrade’s greeting  And a shy maiden’s pure caress. 
His heart the nest of fond illusion,  In worldly dazzle and confusion  The hopeful youth was quick to find  Much to enchant his virgin mind.  His doubts were never past the curing,  In reverie they would dissolve; 
Life was a riddle he would solve,  He found it puzzling but alluring;  He racked his brains, and still believed  That miracles could be achieved."
"(Название:) ЕВГЕНИЙ ОНЕГИН (Глава 2, Станза VIII) 
(Поэт:) Александр Пушкин 

Он верил, что душа родная 
Соединиться с ним должна, 
Что, безотрадно изнывая, 
Его вседневно ждет она; 
Он верил, что друзья готовы 
За честь его приять оковы 
И что не дрогнет их рука 
Разбить сосуд клеветника; 
Что есть избранные судьбами, 
Людей священные друзья;
Что их бессмертная семья 
Неотразимыми лучами 
Когда-нибудь нас озарит 
И мир блаженством одарит.","(Title:) EUGENE ONEGIN (Chapter 2, Stanza VIII) 
(Poet/Translator:) Alexander Pushkin / Charles Johnson

He was too young to have been blighted 
By the cold world's corrupt finesse; 
His soul still blossomed out, and lighted 
At a friend's word, a girl's caress. 
In heart's affairs, a sweet beginner, 
He fed on hope's deceptive dinner; 
The world's éclat, its thunder-roll, 
Still captivated his young soul. 
He sweetened up with fancy's icing 
The uncertainties within his heart; 
For him, the objective on life's chart 
Was still mysterious and enticing – 
Something to rack his brains about, 
Suspecting wonders would come out."
"Негодование, сожаление, 
Ко благу чистая любовь 
И славы сладкое мученье 
В нем рано волновали кровь. 
Он с лирой странствовал на свете; 
Под небом Шиллера и Гете 
Их поэтическим огнем 
Душа воспламенилась в нем; 
И муз возвышенных искусства, 
Счастливец, он не постыдил: 
Он в песнях гордо сохранил 
Всегда возвышенные чувства, 
Порывы девственной мечты 
И прелесть важной простоты.","He early knew the agitation Of high desires and deep regret, The stir of noble indignation, Hope of a name none might forget. 
He was none of your poetasters, 
Goethe and Schiller were his masters. 
Beneath their sky he plucked his lyre, 
His spirit knew their lyric fire. And, fortune’s darling, in his rhyming 
He paid the Muses honor due; His sentiments were fine and true.
His music therewith sweetly chiming; 
His were the dreams that move the heart 
And his the charm of simple art."
"(Название:) ЕВГЕНИЙ ОНЕГИН (Глава 2, Станза IX) 
(Поэт:) Александр Пушкин 

Негодование, сожаление, 
Ко благу чистая любовь 
И славы сладкое мученье 
В нем рано волновали кровь. 
Он с лирой странствовал на свете; 
Под небом Шиллера и Гете 
Их поэтическим огнем 
Душа воспламенилась в нем; 
И муз возвышенных искусства, 
Счастливец, он не постыдил: 
Он в песнях гордо сохранил 
Всегда возвышенные чувства, 
Порывы девственной мечты 
И прелесть важной простоты.","(Title:) EUGENE ONEGIN (Chapter 2, Stanza IX) 
(Poet/Translator:) Alexander Pushkin / Charles Johnson 

Compassion, yes, and indignation, 
Honest devotion to the good, 
Bitter-sweet glory's inspiration, 
Already stirred him as they should. 
He roamed the world, his lyre behind him; 
Schiller and Goethe had refined him, 
And theirs was the poetic flame 
That fired his soul, to burn the same; 
The Muses' lofty arts and fashions, 
Fortunate one, he'd not disgrace; 
But in his songs kept pride of place 
For the sublime, and for the passions 
Of virgin fancy, and again 
The charm of what was grave and plain."
"(Название:) ЕВГЕНИЙ ОНЕГИН (Глава 2, Станза X) 
(Поэт:) Александр Пушкин 

Он пел любовь, любви послушный, 
И песнь его была ясна, 
Как мысли девы простодушной, 
Как сон младенца, как луна 
В пустынях неба безмятежных, 
Богиня тайн и вздохов нежных. 
Он пел разлуку и печаль, 
И нечто, и тумана даль, 
И романтические розы; 
Он пел те дальные страны, 
Где долго в лоно тишины 
Лились его живые слезы; 
Он пел поблеклый жизни цвет 
Без малого в осьмнадцать лет.","(Title:) EUGENE ONEGIN (Chapter 2, Stanza X) 
(Poet/Translator:) Alexander Pushkin / Babette Deutsch and Aleksey Calvin

The theme from which he never parted 
Was love: he sang it late and soon, 
As clear as thought of girls pure-hearted,  As infant sleep, as goddess moon 
From empty skies on sighing shining;  He sang of parting and repining;  The mystic, foggy hours of night  And distance, promising delight;  He sang the rose, romantic flower; 
And lands remote, where on the breast 
Of silence he had lain at rest 
And let his tears unheeded shower;  He sang life’s dulled and early blight: 
His nineteenth year though scarce in sight."
"(Название:) ЕВГЕНИЙ ОНЕГИН (Глава 2, Станза X) 
(Поэт:) Александр Пушкин 

Он пел любовь, любви послушный, 
И песнь его была ясна, 
Как мысли девы простодушной, 
Как сон младенца, как луна 
В пустынях неба безмятежных, 
Богиня тайн и вздохов нежных. 
Он пел разлуку и печаль, 
И нечто, и тумана даль, 
И романтические розы; 
Он пел те дальные страны, 
Где долго в лоно тишины 
Лились его живые слезы; 
Он пел поблеклый жизни цвет 
Без малого в осьмнадцать лет.","(Title:) EUGENE ONEGIN (Chapter 2, Stanza X) 
(Poet/Translator:) Alexander Pushkin / Charles Johnson and Aleksey Calvin 

He sang of love, to love subjected, 
His song was lucid in its tune 
As infant sleep, or simple-hearted 
Thoughts of a virgin, like the moon 
Through heaven's desert calmly flying, 
That queen of secrets and of sighing. 
He sang of grief and parting days, 
Unknowns, and foggy far-aways; 
Evoked romantic roses blowing; 
And certain distant lands extolled 
Where, long into a silence rolled, 
His living tears had once been flowing; 
He sang a lifetime's faded page 
At not yet eighteen years of age."
"(Название:) ЕВГЕНИЙ ОНЕГИН (Глава 2, Станза XI) 
(Поэт:) Александр Пушкин 

В пустыне, где один Евгений 
Мог оценить его дары, 
Господ соседственных селений 
Ему не нравились пиры; 
Бежал он их беседы шумной. 
Их разговор благоразумный 
О сенокосе, о вине, 
О псарне, о своей родне, 
Конечно, не блистал ни чувством, 
Ни поэтическим огнем, 
Ни остротою, ни умом, 
Ни общежития искусством; 
Но разговор их милых жен 
Гораздо меньше был умен.","(Title:) EUGENE ONEGIN (Chapter 2, Stanza XI) 
(Poet/Translator:) Alexander Pushkin / Charles Johnson and Aleksey Calvin 

But in that desert his attainment 
Only to Eugene showed their worth; 
And Lensky scorned the entertainment 
Of neighbored masters of the earth; 
He fled from their resounding chatter. 
Their talk, so sound on every matter, 
On liquor, and on hay brought in, 
On kennels, and on kith and kin, 
It had no sparkle of sensation, 
It lacked, of course, poetic heart, 
Incisive wit, and social art,
And logic; yet, the conversation 
Of their sweet wives, it would appear, 
Was still less clever to his ear."
"(Название:) ЕВГЕНИЙ ОНЕГИН (Глава 2, Станза XII) 
(Поэт:) Александр Пушкин 

Богат, хорош собою, Ленский 
Везде был принят как жених; 
Таков обычай деревенский; 
Все дочек прочили своих 
За полу-русского соседа; 
Взойдет ли он, тотчас беседа 
Заводит слово стороной 
О скуке жизни холостой; 
Зовут соседа к самовару, 
А Дуня разливает чай; 
Ей шепчут: «Дуня, примечай!» 
Потом приносят и гитару: 
И запищит она (бог мой!): 
Приди в чертог ко мне златой!..","(Title:) EUGENE ONEGIN (Chapter 2, Stanza XII) 
(Poet/Translator:) Alexander Pushkin / Charles Johnson and Aleksey Calvin 

Vladimir, wealthy and good-looking, 
Was asked around as quite a catch – 
Such is the usual country cooking; 
And all the neighbors planned a match 
Between their girls and this half-Russian. 
As soon as he appears, discussion 
Asserts obliquely, but with speed, 
How dull a life the bachelors lead; 
At once, a tea-time enters session, 
Where Dunya works the samovar; 
And soon they bring her a guitar 
And whisper ``Dunya, draw attention!’' 
Then, help me God, she caterwauls: 
``Come unto me in golden halls!..’’"
"Но Ленский, не имев, конечно, 
Охоты узы брака несть, 
С Онегиным желал сердечно 
Знакомство покороче свесть. 
Они сошлись. Волна и камень, 
Стихи и проза, лед и пламень
Не столь различны меж собой. 
Сперва взаимной разнотой 
Они друг другу были скучны; 
Потом понравились; потом 
Съезжались каждый день верхом 
И скоро стали неразлучны. 
Так люди (первый каюсь я) 
От делать нечего друзья.","Lensky of course was quite untainted 
By any itch for marriage ties; 
Instead, the chance to get acquainted 
With Eugene proved a tempting prize. 
So, verse and prose, they came together. 
No ice and flame, no stormy weather 
And granite, were so far apart. 
At first, disparity of heart 
Would make them boring to each other; 
Then kinship grew, then every day 
They met on horseback; quickly, they 
Became like brother knit to brother. 
Thus friendship, I confess to you, 
Blooms out of nothing else to do."
"Но дружбы нет и той меж нами. 
Все предрассудки истребя, 
Мы почитаем всех нулями, 
А единицами — себя. 
Мы все глядим в Наполеоны; 
Двуногих тварей миллионы 
Для нас орудие одно; 
Нам чувство дико и смешно. 
Сноснее многих был Евгений; 
Хоть он людей, конечно, знал 
И вообще их презирал, — 
Но (правил нет без исключений) 
Иных он очень отличал 
И вчуже чувство уважал.","Now, even friendship like our heroes’, 
Had ceased to be: for we've outgrown 
Old prejudice; all count as zeros, 
While units are ourselves alone. 
Napoleon’s our only teacher; 
When millions of two-legged creatures 
We deem our instruments and tools; 
All care seems quaint, and fit for fools. 
More tolerant in his conception 
Than most, Eugene – although he knew 
And scorned his fellows through and through; 
Yet, as each rule must bear exception – 
Knew people whom he glorified, 
And feelings valued, from outside."
"(Название:) ЕВГЕНИЙ ОНЕГИН (Глава 2, Станза XV) 
(Поэт:) Александр Пушкин 

Он слушал Ленского с улыбкой. 
Поэта пылкий разговор, 
И ум, еще в сужденьях зыбкой, 
И вечно вдохновенный взор, — 
Онегину все было ново; 
Он охладительное слово 
В устах старался удержать 
И думал: глупо мне мешать 
Его минутному блаженству; 
И без меня пора придет; 
Пускай покамест он живет 
Да верит мира совершенству; 
Простим горячке юных лет 
И юный жар и юный бред.","(Title:) EUGENE ONEGIN (Chapter 2, Stanza XV) 
(Poet/Translator:) Alexander Pushkin / Charles Johnson and Aleksey Calvin 

He smiled as Lensky talked: the heady 
Perfervid language of the bard, 
His mind, in judgement still unsteady, 
His endlessly inspired regard – 
Eugene perceived it all as novel; 
And straining, let no coldly polar 
Word flee his lips, he thought: what sheer 
Fatuity to interfere 
With such a blissful, brief infection – 
All by itself assured to fade; 
At present, let him live, and rate 
This universe as true perfection; 
Youth is a fever; we must spare 
And bless its right to rave and flare."
"Меж ими все рождало споры 
И к размышлению влекло: 
Племен минувших договоры, 
Плоды наук, добро и зло, 
И предрассудки вековые, 
И гроба тайны роковые, 
Судьба и жизнь в свою чреду, 
Все подвергалось их суду. 
Поэт в жару своих суждений 
Читал, забывшись, между тем 
Отрывки северных поэм, 
И снисходительный Евгений, 
Хоть их не много понимал, 
Прилежно юноше внимал.","Between them, any theme imparted 
Reflection or provoked dispute: 
Accords of nations long departed, 
Acts good and ill, scholastic fruit, 
The superstitions of the ages, 
Dire secrets of the grave, or pages 
Of destiny and life, in turn 
Absorbed their scrutiny's concern. 
And in the heat of some dissension, 
The poet, manic, spouted forth 
Fragmented poems of the North, 
Which, with persisting condescension, 
Eugene would patiently imbibe, 
But hardly grasp what they implied."
